currency,date
JPY,2021 Aug 8
GBP,2021 Aug 30
CNY,2022 Jun 1
GBP,2022 Jun 2
EUR,2022 Jun 2
GBP,2022 Jun 3
NZD,2022 Jun 5
CHF,2022 Jun 6
EUR,2022 Jun 6
EUR,2022 Jun 6
AUD,2022 Jun 12
USD,2022 Jun 20
EUR,2022 Jun 29
CAD,2014 Sep 1
USD,2014 Sep 1
CNY,2014 Sep 7
JPY,2014 Sep 14
JPY,2014 Sep 22
NZD,2014 Sep 27
CNY,2014 Sep 30
CAD,2012 Jul 2
USD,2012 Jul 4
JPY,2012 Jul 15
NZD,2016 Apr 2
AUD,2016 Apr 2
CNY,2016 Apr 3
NZD,2016 Apr 24
AUD,2016 Apr 24
EUR,2016 Apr 25
JPY,2016 Apr 28
CAD,2012 Sep 3
USD,2012 Sep 3
JPY,2012 Sep 16
NZD,2012 Sep 29
